ID,CLÁUSULA
1,"(i) Diseñar, sin costo alguno, el espacio dentro de la Plataforma Rappi para que el Aliado comercial pueda exhibir, ofrecer y comercializar sus Productos;",,Nombre del archivo (contrato),Clausulas extra,Clausulas extra,Clausulas extra,Clausulas extra,Clausulas extra
2,"(ii) Disponer de la Plataforma Rappi para que los Usuarios/Consumidores puedan adquirir los Productos exhibidos, ofrecidos y comercializados por el Aliado Comercial a través de la misma (se exceptúan casos de fuerza mayor, caso fortuito e inconvenientes técnicos mayores de la Plataforma Rappi); ",,,,,,,
3,"(iii) Compartir un reporte semanal detallado de las ventas realizadas por el Aliado Comercial a través de la Plataforma Rappi, indicando número de orden y Productos vendidos. Se aclara que dicho reporte podrá ser compartido por medio del Portal de Partners o a través del mecanismo definido por parte de Rappi;",,,,,,,
4,"(iv)  Cubrir el _____________ % (_____ por ciento)  del valor total de las órdenes canceladas, cuya cancelación no sea culpa exclusiva del Aliado Comercial. Se aclara que dentro de dicho porcentaje no se tendrá en cuenta el valor de los Productos que no requieren preparación. 
5,"(iv) Reembolsar hasta $25.00 M.N. (veinticinco pesos 00/100 Moneda Nacional) por el costo de envío de las órdenes realizadas a los Establecimientos de Comercio del Aliado Comercial por parte de los Usuarios/Consumidores que pertenezcan al Programa RappiPro, siempre y cuando dicha orden tenga el beneficio de costo de envío, de acuerdo con los términos y condiciones del Programa RappiPro. Lo anterior, dado que en dichas órdenes los Usuarios/Consumidores no deberán pagar ningún valor por concepto de costo de envío. ",,,,,,,
6,"(i) Entregar a Rappi, de manera gratuita, los logotipos, imagotipos, isotipos, isológos y artes de su Marca en el formato requerido por Rappi para ser exhibidas a través de la Plataforma Rappi; ",,,,,,,
7,"(ii) Diligenciar la información del Catálogo en los formatos requeridos por Rappi (i.e. Productos, precios, características técnicas y descripción); ",,,,,,,
8,"(iii) Notificar a Rappi, dentro de un periodo razonable, cualquier modificación del Catálogo (Productos, precios, características técnicas y/o descripción), cambio de dirección de los Establecimientos de Comercio, horarios de operación de los Establecimientos de Comercio, entre otros cambios considerables; ",,,,,,,
9,(iv) Responder por la totalidad de la información que se exhiba en su tienda virtual al interior de la Plataforma Rappi;,,,,,,,
10,"(v) Ofrecer, a través de la Plataforma Rappi, la misma calidad en los Productos que ofrece a través de cualquier otro canal;",,,,,,,
11,"(vi) Ofrecer en la Plataforma Rappi los mismos precios de los Productos que ofrece a través de cualquier otro canal, incluyendo la totalidad de descuentos y/o promociones. Se aclara que Rappi podrá cobrar al Usuario/Consumidor valores adicionales para poder realizar la orden a través de la Plataforma Rappi; ",,,,,,,
12,"(vii) Autorizar el uso de los logotipos, imagotipos, isotipos, isológos y artes de la Marca por parte de Rappi para publicaciones físicas y digitales (ej. Instagram, flyers, etc.)",,,,,,,
13,(viii) Ubicar en un lugar visible de los Establecimientos de Comercio el material POP suministrado por Rappi para promocionar la comercialización de sus Productos por medio de la Plataforma Rappi; ,,,,,,,
14,(ix) Promocionar a través sus redes sociales la posibilidad de adquirir sus Productos por medio de la Plataforma Rappi; ,,,,,,,
15,"(x) Tramitar todas las órdenes que se soliciten de sus Establecimientos de Comercio a través de la Plataforma Rappi, de conformidad con lo solicitado por los Usuarios/Consumidores. De esta manera, el Aliado Comercial será responsable de preparar los Productos y alistar las órdenes, de acuerdo con los solicitado por los Usuarios/Consumidores a través de la Plataforma Rappi. En el caso en el que Rappi identifique que los Productos y/o las órdenes no están siendo tramitadas de conformidad con lo solicitado por los Usuarios/Consumidores, podrá: (a) suspender y/o apagar los Productos en los que se presentan errores; y/o (b) apagar y/o suspender Establecimientos de Comercio donde se estén presentando errores; ",,,,,,,
16,(xi) No preparar las órdenes que no sean tramitadas/aceptadas dentro de los 7 (siete) primeros minutos posteriores a la recepción de las mismas al interior de la Plataforma Rappi. Dichas órdenes serán eliminadas inmediatamente del sistema;,,,,,,,
